estacion,provincia,temp_max,temp_min,temp_med,viento_racha,viento_vel_max,prec_dia,prec_0_6h,prec_6_12h,prec_12_18h,prec_18_24h,fecha
Estaca de Bares,A Coruña,8.9,5.0,6.9,66.0,48.0,13.8,0.8,4.8,0.8,7.4,2021-01-05
Ferrol,A Coruña,8.7,1.0,4.8,14.0,8.0,5.8,0.1,4.8,0.7,0.2,2021-01-05
As Pontes,A Coruña,4.7,-0.4,2.1,,,5.0,0.0,3.6,1.4,0.0,2021-01-05
A Coruña,A Coruña,10.2,2.8,6.5,27.0,14.0,4.6,0.0,3.0,1.6,0.0,2021-01-05
A Coruña Aeropuerto,A Coruña,9.4,-1.5,3.9,22.0,12.0,1.0,0.0,0.9,0.1,0.0,2021-01-05
"Carballo, Depuradora",A Coruña,9.6,-1.7,4.0,,,2.8,0.0,2.6,0.2,0.0,2021-01-05
Cabo Vilan,A Coruña,9.8,2.9,6.4,35.0,20.0,4.2,0.3,2.1,0.8,1.0,2021-01-05
Vimianzo,A Coruña,8.0,-1.3,3.4,,,1.6,0.0,1.6,0.0,0.0,2021-01-05
Fisterra,A Coruña,7.7,4.0,5.8,34.0,23.0,0.4,0.0,0.2,0.2,0.0,2021-01-05
Mazaricos,A Coruña,6.5,-2.3,2.1,,,1.4,0.0,0.2,1.0,0.2,2021-01-05
Sobrado,A Coruña,7.1,-3.2,1.9,,,0.2,0.0,0.2,0.0,0.0,2021-01-05
Santiago de Compostela Aeropuerto,A Coruña,7.7,-2.7,2.5,11.0,5.0,0.1,0.0,0.0,0.1,0.0,2021-01-05
Noia,A Coruña,8.5,0.1,4.3,18.0,4.0,0.6,0.0,0.2,0.4,0.0,2021-01-05
Monte Iroite,A Coruña,,,,,,,,,,,2021-01-05
Boiro,A Coruña,8.9,-1.2,3.8,,,0.0,0.0,0.0,0.0,0.0,2021-01-05
Padrón,A Coruña,5.8,-0.6,2.6,26.0,20.0,0.1,0.1,0.0,0.0,0.0,2021-01-05
Santiago de Compostela,A Coruña,7.8,-1.5,3.2,14.0,4.0,0.0,0.0,0.0,0.0,0.0,2021-01-05
"Rois, Casas do Porto",A Coruña,6.4,-1.8,2.3,,,0.4,0.2,0.0,0.2,0.0,2021-01-05
Ossa de Montiel,Albacete,5.7,-4.7,0.5,18.0,9.0,0.0,0.0,0.0,0.0,0.0,2021-01-05
Villarrobledo,Albacete,5.4,-5.8,-0.2,17.0,11.0,0.0,0.0,0.0,0.0,0.0,2021-01-05
Munera,Albacete,3.3,-8.7,-2.7,14.0,6.0,0.2,0.0,0.2,0.0,0.0,2021-01-05
"Yeste, Embalse Fuensanta",Albacete,8.3,-2.8,2.8,,,0.0,0.0,0.0,0.0,0.0,2021-01-05
Yeste,Albacete,6.3,-3.6,1.4,,,0.0,0.0,0.0,0.0,0.0,2021-01-05
Hellín,Albacete,6.4,-2.5,2.0,26.0,14.0,0.0,0.0,0.0,0.0,0.0,2021-01-05
Albacete Base Aérea,Albacete,3.9,-5.9,-1.0,18.0,10.0,0.0,0.0,0.0,0.0,0.0,2021-01-05
Chinchilla,Albacete,1.5,-5.4,-2.0,26.0,19.0,0.3,0.0,0.3,0.0,0.0,2021-01-05
Albacete,Albacete,5.2,-4.5,0.3,12.0,4.0,0.0,0.0,0.0,0.0,0.0,2021-01-05
Alcalá del Júcar,Albacete,4.7,-3.3,0.7,20.0,10.0,0.0,0.0,0.0,0.0,0.0,2021-01-05
Almansa,Albacete,7.5,-5.9,0.8,22.0,10.0,0.0,0.0,0.0,0.0,0.0,2021-01-05
Orihuela,Alacant/Alicante,12.3,1.2,6.8,31.0,14.0,0.0,0.0,0.0,0.0,0.0,2021-01-05
Pinoso,Alacant/Alicante,9.1,-3.9,2.6,19.0,9.0,0.0,0.0,0.0,0.0,0.0,2021-01-05
Rojales,Alacant/Alicante,13.3,2.4,7.9,23.0,16.0,0.0,0.0,0.0,0.0,0.0,2021-01-05
Villena,Alacant/Alicante,9.2,-5.8,1.7,22.0,13.0,,,,,,2021-01-05
Novelda,Alacant/Alicante,12.1,2.8,7.5,,,0.0,0.0,0.0,0.0,0.0,2021-01-05
Elche/Elx,Alacant/Alicante,14.4,2.1,8.2,,,0.0,0.0,0.0,0.0,0.0,2021-01-05
Alicante-Elche Aeropuerto,Alacant/Alicante,13.2,4.4,8.8,45.0,32.0,0.0,0.0,0.0,0.0,0.0,2021-01-05
Alicante/Alacant,Alacant/Alicante,14.7,3.9,9.3,26.0,12.0,0.0,0.0,0.0,0.0,0.0,2021-01-05
Benidorm,Alacant/Alicante,13.1,0.9,7.0,18.0,9.0,0.0,0.0,0.0,0.0,0.0,2021-01-05
Jávea/ Xàbia,Alacant/Alicante,13.8,0.7,7.3,30.0,16.0,0.0,0.0,0.0,0.0,0.0,2021-01-05
Alcoy/Alcoi,Alacant/Alicante,9.3,-0.5,4.4,30.0,16.0,0.0,0.0,0.0,0.0,0.0,2021-01-05
Vélez Blanco - Topares,Almería,4.4,-3.8,0.3,,,0.0,0.0,0.0,0.0,0.0,2021-01-05
